skill,term,profiles_with_skill_and_term,profiles_with_skill,profiles_with_term,base_rate,term_rate_within_skill,lift
communication,intercompany,5,647,7,0.0011935208866155158,0.0077279752704791345,6.474939280194303
communication,rising,4,647,6,0.0010230179028132991,0.0061823802163833074,6.043276661514684
communication,alumna,3,647,5,8.525149190110827e-4,0.00463678516228748,5.438948995363215
communication,appearance,3,647,5,8.525149190110827e-4,0.00463678516228748,5.438948995363215
communication,attitude,3,647,5,8.525149190110827e-4,0.00463678516228748,5.438948995363215
communication,bentley,3,647,5,8.525149190110827e-4,0.00463678516228748,5.438948995363215
communication,disorders,3,647,5,8.525149190110827e-4,0.00463678516228748,5.438948995363215
communication,landscaping,3,647,5,8.525149190110827e-4,0.00463678516228748,5.438948995363215
customer service,save,5,848,6,0.0010230179028132991,0.00589622641509434,5.763561320754718
customer service,tournament,4,848,5,8.525149190110827e-4,0.0047169811320754715,5.533018867924528
customer service,weddings,4,848,5,8.525149190110827e-4,0.0047169811320754715,5.533018867924528
customer service,tenants,5,848,7,0.0011935208866155158,0.00589622641509434,4.940195417789758
customer service,answering,7,848,10,0.0017050298380221654,0.008254716981132075,4.841391509433962
customer service,adapt,4,848,6,0.0010230179028132991,0.0047169811320754715,4.610849056603774
customer service,isenberg,4,848,6,0.0010230179028132991,0.0047169811320754715,4.610849056603774
customer service,lifeguard,4,848,6,0.0010230179028132991,0.0047169811320754715,4.610849056603774
data analysis,reusable,4,661,6,0.0010230179028132991,0.006051437216338881,5.915279878971257
data analysis,scorecards,4,661,6,0.0010230179028132991,0.006051437216338881,5.915279878971257
data analysis,competitions,3,661,5,8.525149190110827e-4,0.0045385779122541605,5.323751891074131
data analysis,cvs,3,661,5,8.525149190110827e-4,0.0045385779122541605,5.323751891074131
data analysis,father,3,661,5,8.525149190110827e-4,0.0045385779122541605,5.323751891074131
data analysis,highlighting,3,661,5,8.525149190110827e-4,0.0045385779122541605,5.323751891074131
data analysis,interviewer,3,661,5,8.525149190110827e-4,0.0045385779122541605,5.323751891074131
data analysis,lecture,3,661,5,8.525149190110827e-4,0.0045385779122541605,5.323751891074131
financial analysis,workload,5,585,6,0.0010230179028132991,0.008547008547008548,8.354700854700857
financial analysis,timing,5,585,7,0.0011935208866155158,0.008547008547008548,7.1611721611721615
financial analysis,discounted,4,585,6,0.0010230179028132991,0.006837606837606838,6.683760683760684
financial analysis,issuance,4,585,6,0.0010230179028132991,0.006837606837606838,6.683760683760684
financial analysis,lender,5,585,8,0.0013640238704177323,0.008547008547008548,6.266025641025642
financial analysis,calculating,3,585,5,8.525149190110827e-4,0.005128205128205128,6.015384615384615
financial analysis,ourso,3,585,5,8.525149190110827e-4,0.005128205128205128,6.015384615384615
financial analysis,pizza,3,585,5,8.525149190110827e-4,0.005128205128205128,6.015384615384615
leadership,amazing,5,1384,6,0.0010230179028132991,0.0036127167630057803,3.5314306358381504
leadership,directorate,4,1384,5,8.525149190110827e-4,0.002890173410404624,3.390173410404624
leadership,father,4,1384,5,8.525149190110827e-4,0.002890173410404624,3.390173410404624
leadership,indigenous,4,1384,5,8.525149190110827e-4,0.002890173410404624,3.390173410404624
leadership,mary,4,1384,5,8.525149190110827e-4,0.002890173410404624,3.390173410404624
leadership,ski,4,1384,5,8.525149190110827e-4,0.002890173410404624,3.390173410404624
leadership,donors,7,1384,9,0.001534526854219949,0.0050578034682080926,3.2960019267822736
leadership,dir,5,1384,7,0.0011935208866155158,0.0036127167630057803,3.0269405450041287
management,harness,4,844,5,8.525149190110827e-4,0.004739336492890996,5.559241706161138
management,collaboratively,7,844,10,0.0017050298380221654,0.008293838862559242,4.864336492890995
management,jan,4,844,6,0.0010230179028132991,0.004739336492890996,4.632701421800949
management,moved,6,844,9,0.001534526854219949,0.0071090047393364926,4.632701421800947
management,territory,13,844,20,0.0034100596760443308,0.015402843601895734,4.516883886255924
management,forum,5,844,8,0.0013640238704177323,0.005924170616113744,4.343157582938389
management,permanent,5,844,8,0.0013640238704177323,0.005924170616113744,4.343157582938389
management,chance,3,844,5,8.525149190110827e-4,0.0035545023696682463,4.169431279620853
marketing,spark,4,571,5,8.525149190110827e-4,0.0070052539404553416,8.217162872154116
marketing,blending,4,571,6,0.0010230179028132991,0.0070052539404553416,6.847635726795097
marketing,festival,4,571,6,0.0010230179028132991,0.0070052539404553416,6.847635726795097
marketing,beauty,3,571,5,8.525149190110827e-4,0.005253940455341506,6.162872154115587
marketing,classrooms,3,571,5,8.525149190110827e-4,0.005253940455341506,6.162872154115587
marketing,confident,3,571,5,8.525149190110827e-4,0.005253940455341506,6.162872154115587
marketing,exec,3,571,5,8.525149190110827e-4,0.005253940455341506,6.162872154115587
marketing,extra,3,571,5,8.525149190110827e-4,0.005253940455341506,6.162872154115587
microsoft excel,bentley,5,1244,5,8.525149190110827e-4,0.0040192926045016075,4.714630225080386
microsoft excel,conclusions,6,1244,7,0.0011935208866155158,0.00482315112540193,4.041111621497474
microsoft excel,isenberg,5,1244,6,0.0010230179028132991,0.0040192926045016075,3.9288585209003215
microsoft excel,emba,4,1244,5,8.525149190110827e-4,0.003215434083601286,3.7717041800643085
microsoft excel,ourso,4,1244,5,8.525149190110827e-4,0.003215434083601286,3.7717041800643085
microsoft excel,overhaul,4,1244,5,8.525149190110827e-4,0.003215434083601286,3.7717041800643085
microsoft excel,ranger,4,1244,5,8.525149190110827e-4,0.003215434083601286,3.7717041800643085
microsoft excel,specification,4,1244,5,8.525149190110827e-4,0.003215434083601286,3.7717041800643085
microsoft office,sage,6,1049,7,0.0011935208866155158,0.005719733079122974,4.792319215579463
microsoft office,adapting,4,1049,5,8.525149190110827e-4,0.0038131553860819827,4.472831267874166
microsoft office,jun,4,1049,5,8.525149190110827e-4,0.0038131553860819827,4.472831267874166
microsoft office,lecture,4,1049,5,8.525149190110827e-4,0.0038131553860819827,4.472831267874166
microsoft office,researches,5,1049,7,0.0011935208866155158,0.004766444232602479,3.99359934631622
microsoft office,dance,4,1049,6,0.0010230179028132991,0.0038131553860819827,3.7273593898951383
microsoft office,ethical,4,1049,6,0.0010230179028132991,0.0038131553860819827,3.7273593898951383
microsoft office,grades,4,1049,6,0.0010230179028132991,0.0038131553860819827,3.7273593898951383
microsoft word,collaboratively,7,576,10,0.0017050298380221654,0.012152777777777778,7.127604166666667
microsoft word,answered,4,576,6,0.0010230179028132991,0.006944444444444444,6.788194444444445
microsoft word,panel,4,576,6,0.0010230179028132991,0.006944444444444444,6.788194444444445
microsoft word,jun,3,576,5,8.525149190110827e-4,0.005208333333333333,6.109375
microsoft word,ourso,3,576,5,8.525149190110827e-4,0.005208333333333333,6.109375
microsoft word,ranger,3,576,5,8.525149190110827e-4,0.005208333333333333,6.109375
microsoft word,receptionist,3,576,5,8.525149190110827e-4,0.005208333333333333,6.109375
microsoft word,comments,3,576,6,0.0010230179028132991,0.005208333333333333,5.091145833333334
project management,configure,4,884,5,8.525149190110827e-4,0.004524886877828055,5.307692307692308
project management,offs,6,884,8,0.0013640238704177323,0.006787330316742082,4.975961538461538
project management,peak,5,884,7,0.0011935208866155158,0.005656108597285068,4.739010989010989
project management,presidential,5,884,7,0.0011935208866155158,0.005656108597285068,4.739010989010989
project management,grown,4,884,6,0.0010230179028132991,0.004524886877828055,4.423076923076924
project management,integrator,4,884,6,0.0010230179028132991,0.004524886877828055,4.423076923076924
project management,nations,4,884,6,0.0010230179028132991,0.004524886877828055,4.423076923076924
project management,consortium,5,884,8,0.0013640238704177323,0.005656108597285068,4.146634615384616
public speaking,ethical,5,764,6,0.0010230179028132991,0.006544502617801047,6.3972513089005245
public speaking,endeavors,4,764,5,8.525149190110827e-4,0.005235602094240838,6.141361256544503
public speaking,styles,5,764,7,0.0011935208866155158,0.006544502617801047,5.483358264771877
public speaking,coordinators,4,764,6,0.0010230179028132991,0.005235602094240838,5.11780104712042
public speaking,seminar,4,764,6,0.0010230179028132991,0.005235602094240838,5.11780104712042
public speaking,tracks,5,764,8,0.0013640238704177323,0.006544502617801047,4.797938481675393
public speaking,bny,3,764,5,8.525149190110827e-4,0.003926701570680628,4.606020942408377
public speaking,civic,6,764,10,0.0017050298380221654,0.007853403141361256,4.606020942408377
research,examiner,4,563,6,0.0010230179028132991,0.007104795737122558,6.944937833037301
research,suny,4,563,6,0.0010230179028132991,0.007104795737122558,6.944937833037301
research,emeritus,7,563,11,0.0018755328218243818,0.012433392539964476,6.629258840626514
research,interviewer,3,563,5,8.525149190110827e-4,0.0053285968028419185,6.25044404973357
research,lecture,3,563,5,8.525149190110827e-4,0.0053285968028419185,6.25044404973357
research,measuring,4,563,7,0.0011935208866155158,0.007104795737122558,5.952803856889115
research,buffalo,4,563,8,0.0013640238704177323,0.007104795737122558,5.208703374777976
research,investigator,4,563,8,0.0013640238704177323,0.007104795737122558,5.208703374777976
strategic planning,chesapeake,5,770,6,0.0010230179028132991,0.006493506493506494,6.347402597402598
strategic planning,plastic,5,770,6,0.0010230179028132991,0.006493506493506494,6.347402597402598
strategic planning,ocean,4,770,5,8.525149190110827e-4,0.005194805194805195,6.093506493506493
strategic planning,rewarding,4,770,5,8.525149190110827e-4,0.005194805194805195,6.093506493506493
strategic planning,weddings,4,770,5,8.525149190110827e-4,0.005194805194805195,6.093506493506493
strategic planning,timing,5,770,7,0.0011935208866155158,0.006493506493506494,5.440630797773655
strategic planning,amazing,4,770,6,0.0010230179028132991,0.005194805194805195,5.077922077922079
strategic planning,comply,4,770,6,0.0010230179028132991,0.005194805194805195,5.077922077922079
teamwork,patrons,5,565,8,0.0013640238704177323,0.008849557522123894,6.4878318584070795
teamwork,ship,6,565,10,0.0017050298380221654,0.010619469026548672,6.228318584070796
teamwork,answered,3,565,6,0.0010230179028132991,0.005309734513274336,5.190265486725664
teamwork,cognitive,3,565,6,0.0010230179028132991,0.005309734513274336,5.190265486725664
teamwork,flexibility,3,565,6,0.0010230179028132991,0.005309734513274336,5.190265486725664
teamwork,lifeguard,3,565,6,0.0010230179028132991,0.005309734513274336,5.190265486725664
teamwork,menu,3,565,6,0.0010230179028132991,0.005309734513274336,5.190265486725664
teamwork,northeastern,3,565,6,0.0010230179028132991,0.005309734513274336,5.190265486725664
