skill_1,skill_2,profiles_with_both
microsoft excel,microsoft office,654
leadership,microsoft excel,526
microsoft excel,microsoft word,500
leadership,microsoft office,468
leadership,management,466
leadership,public speaking,443
customer service,leadership,419
customer service,microsoft excel,405
microsoft office,microsoft word,392
customer service,microsoft office,372
microsoft office,public speaking,347
leadership,project management,346
microsoft excel,public speaking,339
leadership,strategic planning,335
microsoft excel,teamwork,321
leadership,teamwork,304
microsoft excel,microsoft powerpoint,301
leadership,microsoft word,299
microsoft excel,powerpoint,298
data analysis,microsoft excel,283
microsoft office,research,278
microsoft office,teamwork,278
microsoft excel,research,277
microsoft office,powerpoint,277
management,strategic planning,275
